UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Mata Najwa,@MataNajwa,2020-10-14T14:15:30.000Z,"Ini beda naskah RUU Cipta Kerja setebal 905 halaman yang diketuk palu di sidang paripurna DPR 5 Oktober 2020 lalu dengan naskah setebal 812 halaman yang diserahkan kepada presiden hari ini. 

#MataNajwaCiptaKerjaManaFaktaManaDusta",,283,"6,3 rb","11,2 rb"
Naruto,@fahri_sion,2020-10-18T01:58:35.000Z,"Omnibus Law RUU Cipta Kerja ijin membuka usaha UMKM dipermudah krn memangkas regulasi ijin yg tumpang tindih
#CiptaKerjaBermanfaat",,,9,12
Naruto,@fahri_sion,2020-10-18T01:58:27.000Z,"OmnibusLaw RUU Cipta Kerja mempermudah pembentukan koperasi yg bisa dibentuk hanya dengan 9 orang
#CiptaKerjaBermanfaat",,,3,4
Rahma Falya,@RahmaFalya,2020-10-18T23:41:48.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Komisioner Komnas Perempuan, Bahrul Fuad menilai bahwa...
Selengkapnya, simak di channel youtube MMC.",,,4,5
Mas Piyu Ori :),@MaspiyuO,2020-10-17T09:11:06.000Z,"TAHUKAH ANDA ???

bahwa BELUM JUGA RUU Cipta Kerja dibahas oleh parlemen / DPR RI ..... Pemerintah sudah siapkan Peraturan Turunan RUU Cipta Kerja sebagai Aturan Pelaksana !",,37,363,574
Naruto,@fahri_sion,2020-10-18T01:58:37.000Z,"Ini pasti suruhan mafia Perijinan karena dengan adanya Omnibus Law RUU Ciptakerja memangkas semua pungli perijinan usaha
#CiptaKerjaBermanfaat",,,10,12
Asumsi,@asumsico,2020-10-12T07:54:24.000Z,"Setelah disahkan pada Senin (5/10) lalu, keberadaan mengenai draf final UU Cipta Kerja masih simpang siur.

Kini beredar kembali naskah lain dengan jumlah 1.035 halaman dengan nama penyimpanan ""RUU CIPTA KERJA - KIRIM KE PRESIDEN.pdf"".",,16,326,660
ABDOEL NFN,@BatikRiwa,2020-10-18T02:02:43.000Z,"RUU Cipta Kerja, telah diakui oleh Bank Dunia sebagai terobosan besar untuk mengakselerasi ekonomi. juga merampingkan mafia birokrasi yang selam ini menguasai perizinan
OmnibusLaw Mantap
#CiptaKerjaBermanfaatUU Cipta Kerja Bisa Tenggelamkan Mafia Birokrasi
Tokoh senior politik Sidarto Danusubroto menilai, undang-undang Cipta Kerja, telah diakui oleh Bank Dunia sebagai terobosan besar
m.wartaekonomi.co.id",,4,31,46
InstitutEcosocRights,@ecosocrights,2020-10-18T17:21:30.000Z,"Kertas Kerja KRUHA:  ""Tak ada rakyat dalam Omnibus Law""Kertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",,,6,6
Naruto,@fahri_sion,2020-10-18T01:58:32.000Z,"OmnibusLaw RUU Ciptakerja mengratiskan biaya sertifikasi halal untuk pelaku UMKM sektor makanan dan minuman
#CiptakerjaBermanfaat",,1,23,34
Ladahitam,@Ladahit58892099,2020-10-16T02:07:11.000Z,Mari atasi hoax RUU Cipta kerja #OmnibusLawUntungkanBuruh,,,5,8
ICEL,@ICEL_indo,2020-10-13T11:12:19.000Z,"UU Cipta Kerja mengubah ketentuan minimal 30% luas kawasan hutan yang harus dipertahankan. #1

#OmnibusLaw #ecojustice #RUUCiptaKerja",,8,286,362
Panjiseta,@Panjiseta1,2020-10-18T23:37:32.000Z,"RUU Cipta Kerja hadir salah satu tujuannya untuk menyederhanakan regulasi izin usaha dan berinvestasi. Regulasi penyederhanaan perizinan yang sebelumnya terdapat tumpang tindih, prosedur dan kemudahan dalam proses perizinan, serta memberikan kepastian hukum dalam berusaha.",,2,3,6
尺ﾑ刀ﾉ乇,@_rani1603,2020-10-19T03:29:59.000Z,"OmnibusLaw RUU Ciptakerja juga membuka kesempatan pihak ke 3 dlm penyediaan dan perawatan terminal penumpang
#PercayaCiptaKerja",,,,4
ehermankhaeron,@akang_hero,2020-10-15T05:23:01.000Z,"Baleg Akui Draf RUU Cipta Kerja yang Beredar Belum FinalBaleg Akui Draf RUU Cipta Kerja yang Beredar Belum Final
Baleg Akui Draf RUU Cipta Kerja yang Beredar Belum Final, keputusan tingkat II. Agar anggota DPR, DPR Fraksi Partai Demokrat Herman Khaeron
hermankhaeron.info",,55,240,472
princess violet,@princes66934439,2020-10-15T03:20:15.000Z,"pasal 156 RUU Cipta Kerja

#OBLBuatSejahteraRakyat",,,4,7
Naruto,@fahri_sion,2020-10-18T05:03:30.000Z,"Melalui Omnibus Law RUU Cipta Kerja jutaan pekerja dapat memperbaiki kehidupan bagi keluarga mereka 
#RakyatBersamaOmnibusLaw",,,1,
KKP RI,@kkpgoid,2020-10-14T04:52:58.000Z,"#SahabatBahari, simak yuk penjelasan RUU Cipta Kerja terkait proses dan tranparansinya.

#KKP #KKPGOID #OmnibusLawTransparan #UntukEkonomiIndonesiaDitjen PSDKP-KKP RI dan 6 lainnya",,,43,61
SalamJempol,@JempolSalam,2020-10-14T10:55:44.000Z,"RUU Cipta Kerja menjamin petani sejahtera #OmnibusLawPetaniSejahtera 
@pspkementan1",,,18,15
Hanifah Andini,@Hanifah933,2020-10-20T02:33:21.000Z," Sejak masih belum ato sdh diajukan ke 
@DPR_RI
 RUU Cipta Kerja sudah disosialisasikan k banyak kalangan, baik Serikat Pekerja, Civitas Akademisi, Para Ahli maupun Pengusaha. G satu pertemuan langsung ketok palu setuju loh tuips 
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat",🌺 🌺 💫 🙏,3,20,22
HUKUM MILIK PENGUASA,@HukumDan,2020-10-16T02:06:27.000Z,"Dulu jarang tapi sekarang sejak berpolemiknya pengesahan RUU Cipta Kerja yg berubah ubah. diduga cara kerja Kirkasus dan Kirkapat kembali aktif. 
Saran saja.. Berhati hatilah menggunakan jari. Jangan asal geragas. Dugaan penagkapan aktifis terus berlanjut",,2,46,189
M Cokro,@SinkBadher,2020-10-18T03:21:21.000Z,"Catat yg demo kemarin nolak RUU Cipta kerja 
jngan kasih kerjaan tuh pendemo anarkis kemarin",😎 😎 😅 😅,,3,12
Devda,@Devda81,2020-10-18T17:17:53.000Z,Kominfo butuh RUU cipta kerja buat bangun infrastruktur internet anti lelet,,,1,2
Kang Dien,@Udien_Marbot,2020-10-15T07:35:44.000Z,"Pembahasan RUU Cipta Kerja dibahas secara transparan.

#OmnibusLawTaatProseduralOfficial : Kang Cir3ng
 by N҉I҉N҉J҉A҉ K҉U҉R҉O҉ dan 9 lainnya",®,2,15,14
E L I S Y A,@LILApama2011,2020-10-15T07:07:31.000Z,"RUU Cipta Kerja di tetapkan Sebagai Program Legislasi Nasional Prioritas Tahun 2020.

Jadi itu sudah dirancang dari awal bukan tiba tiba-tiba. 

#OmnibusLawTaatProsedural
@PerekonomianRI",,,42,41
a9us,@gemilang06,2020-10-16T01:05:29.000Z,"UU CiptaKer dikemas utk kepentingan UMKM dan koperasi. Salah satunya utk penyerapan tenaga kerja dan kemudahan perizinan. Apa saja manfaat dan dampak lainnya untuk UMKM & koperasi?
Mari kita simak bersama perbincangan pak mentri
#OmnibusLawUntungkanBuruhRUU Cipta Kerja Gairahkan UMKM dan Koperasi
Undang Undang Cipta Kerja dikemas untuk kepentingan UMKM dan koperasi. Salah satunya untuk penyerapan tenaga kerja dan kemudahan perizinan. Apa saja manfaat dan dampak lainnya untuk UMKM dan koperasi?
metrotvnews.com",,2,28,36
Hidayat Bae,@DayatPondok,2020-10-16T16:39:49.000Z,"Pernyataan Sikap Umat Islam Pamekasan dan Ulama Madura; 
""Cabut Undang2 Ciptakerja, Meminta Partai Pendukung RUU HIP dan UU Ciptakerja Untuk Membubarkan Diri, Meminta dgn hormat agar Jokowi Mundur, Siap Menyambut dan Mengawal Kedatangan IB HRS"".",,6,93,193
Kemenko PMK,@kemenkopmk,2020-10-14T10:26:58.000Z,"Membalas 
@kemenkopmk11. Omnibus law pro rakyat kecil dan petani #OmnibusLawPetaniSejahtera",,1,3,6
Kemenko PMK,@kemenkopmk,2020-10-14T10:27:34.000Z,12. RUU Cipta Kerja menjamin petani sejahtera #OmnibusLawPetaniSejahtera,,,2,4
Bromelin,@nus19m,2020-10-14T08:02:22.000Z,Revisianku ngalah²i draft RUU cipta kerja eg,,,,1
lala,@fyi_imo,2020-10-19T11:24:48.000Z,"Valid tidak isi buku ini?
#ruuciptakerja",,,,
Dewi Purwati,@DewiPur07987754,2020-10-13T14:01:48.000Z,"RUU cipta kerja menguntungkan para buruh, jangan sebar berita hoax ga jelas 
#StopHoaxUUCiptaker",,,2,2
,@_andre_smart,2020-10-15T07:19:27.000Z,"#OmnibusLawTaatProsedural
Asli sesuai prosedural , saat pembahasan RUU Cipta kerja , dewan juga minta masukan dri rakyat sipil dan akademi serta pengusaha kecil",🇦 🇳 🇩 🇷 🇪 🇸 🇲 🇦 🇷 🇹,,29,23
innss,@Innarmln2,2020-10-14T13:01:24.000Z,"fixxx jangan lupa nonton mata najwa 
#ruuciptakerja 
#MataNajwaCiptaKerjaManaFaktaManaDusta",,,,1
gitari,@gitariiii,2020-10-14T02:30:10.000Z,"RUU Cipta kerja Justru akan melindungi para pekerja., RUU ini jg tameng parah buruh.

~RUU ini untuk mensejaterakan maysarakat, jadi tak hanya buruh bahagia, tapi juga pengusaha.
#CegahKorupsiDenganOBL",,,10,9
